TIME,Now,Changes,Changespercent,DayMin,DayMax,YearMin,YearMax
2018-10-25 15:28:31,1137.28,-0.11999512,-0.010549949,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:28:16,1137.2,-0.20007324,-0.017590403,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:28:03,1137.2,-0.20007324,-0.017590403,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:27:52,1137.1,-0.30004883,-0.02638024,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:27:33,1137.3,-0.099975586,-0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:27:17,1137.3,-0.099975586,-0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:27:02,1137.2,-0.20007324,-0.017590403,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:26:47,1137.2,-0.20007324,-0.017590403,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:26:31,1137.38,-0.020019531,-0.0017601134,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:26:16,1137.35,-0.050048828,-0.004400284,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:26:01,1137.41,0.010009766,0.0008800567,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:25:48,1137.41,0.010009766,0.0008800567,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:25:33,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:25:16,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:25:03,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:24:48,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:24:32,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:24:17,1137.4,0.0,0.0,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:24:03,1137.4,0.0,0.0,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:23:47,1137.58,0.17993164,0.015819557,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:23:32,1137.57,0.16992188,0.0149395,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:23:17,1137.57,0.16992188,0.0149395,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:23:01,1137.57,0.16992188,0.0149395,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:22:46,1137.53,0.13000488,0.0114300055,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:22:31,1137.53,0.13000488,0.0114300055,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:22:16,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:22:03,1137.5,0.099975586,0.008789835,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:21:48,1137.7,0.29992676,0.026369505,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:21:33,1137.82,0.41992188,0.036919455,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:21:17,1137.82,0.41992188,0.036919455,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:21:02,1138.0,0.5999756,0.052749744,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:20:47,1137.95,0.54992676,0.04834946,1137.4,1137.7,1132.0,1140.15
2018-10-25 15:20:32,1137.95,0.54992676,0.04834946,1137.4,1137.7,1132.0,1140.15
